aardvark	oryctérope
cause	raison
cavalcade	cavalcade
caveat	avertissement
cave	caverne
caviar	caviar
caw	croassement
cedar	cèdre
cedilla	cédille
ceiling	plafond
celerity	célérité
celery	céleri
cell	cellule
cell	cellule
cell	pile
Celt	Celte
cement	ciment
cemetery	cimetière
censorship	censure
census	recensement
centaur	centaure
Centaurus	Centaure
cent	centime
cent	cent
centime	centime
centimetre	centimètre
centipede	centipède
cent	centime
centreboard	dérive
century	siècle
cereal	céréale
cerium	cérium
certainty	certitude
certitude	certitude
Cetus	Baleine
chador	tchador
chador	chador
chain	chaîne
chainsaw	)
chair	chaise
chair	fauteuil
chalet	chalet
chalice	calice
chalk	craie
Chamaeleon	Caméléon
chamois	chamois
chamois	isard
champagne	champagne
champion	champion
championship	championnat
chance	chance
chandelier	lustre
change	changement
change	modification
change	mutation
change	évolution
change	monnaie
channel	chaîne
chanter	scandeur
chanter	scandeuse
chaos	chaos
chapel	chapelle
character	caractère
character	personnage
charcoal	charbon
Chardonnay	chardonnay
charge	charge
charity	charité
Charles	Charles
chaser	poursuiveur
chasm	fossé
chasm	fossé
chasm	gouffre
chatter	jacassement
chaulk	craie
Chechen	tchétchène
check	addition
check	chèque
check	échec
Cheddar	cheddar
cheek	culot
cheek	toupet
cheek	fesse
cheek	joue
cheese	fromage
cheetah	guépard
chemistry	chimie
Cherokee	Cherokee
Cherokee	cherokee
cherry	cerise
cherry	cerisier
cherub	chérubin
chestnut	châtaigne
chestnut	marron
chestnut	marron
chest	poitrine
chiaroscuro	clair-obscur
chicken	poule
chicken	poulet
chick	nana
chick	gonzesse
chick	oisillon
chick	poussin
chicory	chicorée
child	enfant
Chilean	Chilien
Chilean	Chilienne
chimney	cheminée
chimpanzee	chimpanzé
China	Chine
Chinese	chinois
Chinese	chinois
Chinese	chinoise
Chinese	Chinois
Chinese	Chinoise
chin	mâchoire
chin	menton
chipmunk	tamia
chipmunk	suisse
chive	ciboulette
chive	cive
chlorite	chlorite
chloroform	chloroforme
chocolate	chocolat
chocolate	chocolat
chocolate	praline
choice	choix
chopper	banane
chopper	zob
chopstick	baguette
choreography	chorégraphie
chortle	gloussement
Christ	Christ
Christian	chrétien
Christian	chrétienne
Christianization	christianisation
chromium	chrome
chromosome	chromosome
chronometer	chronomètre
chrysanthemum	chrysanthème
church	église
cicada	cigale
cider	cidre
cigar	cigare
cigarette	cigarette
cinema	cinéma
cinema	film
cinnamon	cannelier
cinnamon	cannelle
Circinus	Compas
circle	cercle
circle	disque
circumcision	circoncision
circumference	circonférence
circumspection	circonspection
cirrhosis	cirrhose
CIS	CEI
citizen	citoyen
citizenship	nationalité
citrus	agrume
city	ville
clairvoyance	clairvoyance
clam	palourde
clarinet	clarinette
classy	chic
classy	chique
claustrophobia	claustrophobie
clay	argile
cleavage	décolleté
cleaver	fendoir
cleft	fissure
clepsydra	clepsydre
cliché	cliché
click	clic
click	déclic
click	clic
cliff	falaise
climate	climat
climatology	climatologie
climbing	escalade
clitoris	clitoris
clock	horloge
cloister	cloître
close	cul-de-sac
close	fin
closing	cloture
cloth	tenue
cloth	tissu
cloth	tissu
cloth	étoffe
cloud	nuage
clover	trèfle
clown	bouffon
clown	clown
club	boîte
club	club
club	trèfle
clue	indice
coal	charbon
coal	houille
coal	braises
coarse	brut
coarse	brute
coaster	sous-verre
coastline	rive
coat	couche
coat	manteau
cobalt	cobalt
cocaine	cocaïne
cock	coq
cock	mâle
cock	queue
cock	bite
cocktail	cocktail
cocoa	cacao
Cocoa	Cocoa
code	code
codicil	codicille
cod	morue
coefficient	coefficient
coffee	caféier
coffee	café
coincidence	coïncidence
coin	monnaie
coin	pièce
Coke	coca
cola	coca
colchicine	colchicine
cold	froid
cold	froid
cold	froide
cold	rhume
collaboration	collaboration
collage	collage
collar	col
collateral	nantissement
collie	colley
collocation	collocation
colon	côlon
colonel	colonel
colonist	coloniste
colony	colonie
colossus	colosse
colostomy	colostomie
colposcope	colposcope
Columba	Colombe
comb	peigne
comet	comète
comforting	rassurant
comforting	rassurante
comic	comique
Comintern	Komintern
comma	virgule
comment	commentaire
commitment	engagement
common	commun
common	commune
community	communauté
commutative	commutatif
commutative	commutative
commutative	abélien
commutative	abélienne
compact	compact
compact	compacte
company	compagnie
company	compagnie
company	entreprise
comparative	comparatif
compass	boussole
compass	compas
compassion	compassion
compass	portée
compass	étendue
compensation	indemnisation
competition	concours
competition	compétition
complete	complet
complete	complète
completeness	complétude
composition	composition
composition	composition
composition	essai
comprehension	comprehension
comprehension	entendement
computer	ordinateur
concept	concept
concern	inquiétude
concern	préoccupation
concomitance	concomitance
concrete	béton
conditional	conditionnel
condom	préservatif
condom	capote
conduct	comportement
conductivity	conductivité
cone	cône
confession	confession
confrontation	confrontation
congratulation	félicitations
conifer	conifère
conjugation	conjugaison
conjunction	conjonction
conk	blair
conk	pif
connection	connexion
connoisseur	connaisseur
connoisseur	connaisseuse
connotation	connotation
consensus	consensus
consonant	consonant
consonant	consonante
consonant	consonne
constancy	constance
constant	constante
constant	constant
constant	constante
constellation	constellation
constitution	constitution
consulate	consulat
consul	consul
consumption	consommation
consumption	tuberculose
contact	contact
contagion	contagion
contagious	contagieux
contagious	contagieuse
contemporaneous	contemporain
contempt	mépris
content	content
content	contente
content	contenu
contest	concours
context	contexte
continent	continent
contract	contrat
contradiction	contradiction
contribution	contribution
control	contrôle
convertible	décapotable
convertible	cabriolet
convulsion	convulsion
cooked	cuit
cooked	cuite
cookie	biscuit
cool	frais
cool	fraîche
coordinate	coordonnée
copula	copule
coral	corail
cord	corde
corgi	corgi
Corinthian	Corinthien
Corinthian	Corinthienne
cork	liège
corkscrew	tire-bouchon
cormorant	cormoran
cornea	cornée
corner	coin
cornet	cornet
corporation	corporation
corporation	société
corpse	cadavre
corpus	corpus
corridor	corridor
corridor	couloir
corridor	couloir
corrie	cirque
Corsican	corse
Corsican	Corse
Corvus	Corbeau
cosine	cosinus
cosmology	cosmologie
Cossack	Cosaque
cosy	douillet
cosy	douillette
cotton	coton
couch	sofa
couch	canapé
cough	toux
coulomb	coulomb
count	comte
counterbalance	contrepoids
countess	comtesse
country	campagne
country	pays
county	comté
county	comté
couple	couple
couple	paire
couple	epoux
couple	paire
coupon	bon
coupon	coupon
courgette	courgette
courtesy	courtoisie
cousin	cousin
